#BLTrackFile initial
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
252.029 30.6715 0 84.7666 11.2006 9999.63 0 2212 81 1 0 1
1043.01 -115.248 0 -170.304 88.866 9998.15 0 2212 82 1 0 1
-249.262 169.022 0 -24.6303 -66.7492 9999.75 0 2212 83 1 0 1
255.825 92.1728 0 166.296 -77.8255 9998.31 0 2212 84 1 0 1
-1482.71 108.898 0 -91.8437 -256.315 9996.29 0 2212 85 1 0 1
202.769 607.112 0 -161.757 -415.785 9990.04 0 2212 86 1 0 1
-533.163 167.673 0 -62.7745 -345.287 9993.84 0 2212 87 1 0 1
-1354.12 86.8521 0 -249.424 945.056 9952.12 0 2212 88 1 0 1
-628.837 -51.4544 0 86.7834 -365.928 9992.93 0 2212 89 1 0 1
-858.61 70.4437 0 -118.83 308.545 9994.53 0 2212 90 1 0 1
262.51 -149.981 0 -114.709 280.329 9995.41 0 2212 91 1 0 1
-1512.64 -352.177 0 56.0208 -295.334 9995.48 0 2212 92 1 0 1
-643.891 42.4111 0 -471.268 600.459 9970.83 0 2212 93 1 0 1
-291.95 -74.2196 0 -0.585164 579.907 9983.17 0 2212 94 1 0 1
-203.016 182.212 0 -7.44342 -641.97 9979.37 0 2212 95 1 0 1
221.937 46.7248 0 471.365 -128.421 9988.06 0 2212 96 1 0 1
-424.89 -279.103 0 91.9886 177.389 9998 0 2212 97 1 0 1
520.848 -344.808 0 178.661 -77.2875 9998.11 0 2212 98 1 0 1
-86.1055 -7.0235 0 45.0149 22.3793 9999.87 0 2212 99 1 0 1
190.988 -540.98 0 -138.837 -368.528 9992.24 0 2212 100 1 0 1
237.999 429.607 0 -147.242 -840.384 9963.54 0 2212 101 1 0 1
-318.404 -87.6315 0 64.485 -396.503 9991.93 0 2212 102 1 0 1
-587.22 344.961 0 -96.9485 355.089 9993.22 0 2212 103 1 0 1
-479.078 108.873 0 -181.287 -258.549 9995.01 0 2212 104 1 0 1
875.58 138.768 0 -385.82 -137.584 9991.61 0 2212 105 1 0 1
